iter	Passed	Remaining
0	17	5208
1	74	11085
2	91	9044
3	95	7071
4	112	6655
5	130	6388
6	147	6185
7	165	6031
8	182	5907
9	200	5808
10	217	5704
11	234	5622
12	251	5549
13	268	5478
14	284	5405
15	301	5343
16	317	5289
17	334	5242
18	352	5216
19	370	5187
20	388	5156
21	407	5144
22	425	5127
23	444	5110
24	462	5083
25	479	5055
26	497	5026
27	514	4996
28	533	4982
29	551	4962
30	570	4949
31	589	4935
32	606	4910
33	626	4898
34	644	4877
35	662	4855
36	680	4837
37	697	4811
38	715	4787
39	732	4763
40	749	4736
41	767	4717
42	786	4698
43	804	4679
44	822	4658
45	839	4637
46	858	4619
47	875	4596
48	892	4570
49	908	4543
50	925	4518
51	944	4504
52	963	4488
53	980	4467
54	997	4444
55	1014	4422
56	1032	4400
57	1049	4378
58	1066	4357
59	1083	4335
60	1100	4311
61	1117	4288
62	1133	4263
63	1150	4241
64	1168	4223
65	1186	4207
66	1204	4188
67	1221	4167
68	1253	4194
69	1293	4250
70	1318	4253
71	1335	4228
72	1351	4203
73	1368	4180
74	1385	4156
75	1402	4134
76	1419	4110
77	1435	4085
78	1452	4062
79	1468	4038
80	1484	4014
81	1492	3966
82	1494	3906
83	1510	3884
84	1527	3862
85	1543	3840
86	1559	3819
87	1575	3796
88	1591	3773
89	1608	3752
90	1623	3729
91	1639	3707
92	1655	3685
93	1672	3665
94	1688	3643
95	1690	3592
96	1706	3571
97	1722	3550
98	1738	3529
99	1754	3509
100	1771	3489
101	1786	3468
102	1802	3446
103	1818	3426
104	1834	3407
105	1851	3387
106	1897	3422
107	1916	3406
108	1933	3387
109	1951	3369
110	1968	3350
111	1984	3331
112	2001	3311
113	2017	3291
114	2032	3269
115	2048	3249
116	2063	3227
117	2079	3206
118	2095	3186
119	2111	3166
120	2127	3147
121	2143	3127
122	2159	3107
123	2176	3088
124	2193	3070
125	2209	3050
126	2225	3031
127	2242	3013
128	2258	2993
129	2275	2975
130	2291	2956
131	2307	2937
132	2324	2918
133	2341	2900
134	2357	2881
135	2373	2862
136	2390	2843
137	2406	2824
138	2422	2805
139	2438	2786
140	2454	2768
141	2471	2750
142	2488	2731
143	2504	2713
144	2521	2694
145	2537	2676
146	2553	2658
147	2570	2639
148	2586	2621
149	2602	2602
150	2619	2584
151	2636	2566
152	2652	2548
153	2669	2530
154	2671	2499
155	2688	2481
156	2704	2463
157	2721	2445
158	2737	2427
159	2753	2409
160	2770	2391
161	2786	2374
162	2803	2356
163	2819	2337
164	2835	2320
165	2852	2302
166	2868	2284
167	2885	2266
168	2901	2249
169	2919	2232
170	2936	2215
171	2953	2197
172	2969	2180
173	2986	2162
174	3003	2145
175	3019	2127
176	3035	2109
177	3052	2092
178	3069	2074
179	3085	2057
180	3102	2039
181	3117	2021
182	3133	2003
183	3149	1985
184	3165	1967
185	3181	1949
186	3197	1932
187	3214	1914
188	3230	1897
189	3247	1879
190	3263	1862
191	3279	1844
192	3296	1827
193	3355	1833
194	3374	1817
195	3390	1799
196	3407	1781
197	3423	1763
198	3440	1746
199	3456	1728
200	3473	1710
201	3489	1692
202	3505	1675
203	3522	1657
204	3538	1639
205	3555	1622
206	3571	1604
207	3588	1587
208	3604	1569
209	3621	1551
210	3637	1534
211	3654	1516
212	3670	1499
213	3687	1481
214	3703	1464
215	3719	1446
216	3736	1429
217	3752	1411
218	3769	1394
219	3786	1376
220	3802	1359
221	3819	1341
222	3835	1324
223	3851	1306
224	3868	1289
225	3886	1272
226	3903	1255
227	3920	1237
228	3937	1220
229	3954	1203
230	3969	1185
231	3986	1168
232	4001	1150
233	4017	1133
234	4033	1115
235	4050	1098
236	4066	1081
237	4082	1063
238	4099	1046
239	4116	1029
240	4132	1011
241	4148	994
242	4165	977
243	4182	959
244	4198	942
245	4215	925
246	4231	907
247	4248	890
248	4264	873
249	4281	856
250	4297	838
251	4313	821
252	4330	804
253	4346	787
254	4363	770
255	4379	752
256	4396	735
257	4412	718
258	4429	701
259	4445	683
260	4462	666
261	4478	649
262	4494	632
263	4511	615
264	4527	597
265	4544	580
266	4560	563
267	4577	546
268	4594	529
269	4610	512
270	4627	495
271	4643	478
272	4660	460
273	4676	443
274	4693	426
275	4709	409
276	4726	392
277	4742	375
278	4759	358
279	4775	341
280	4791	324
281	4808	306
282	4825	289
283	4842	272
284	4858	255
285	4875	238
286	4893	221
287	4911	204
288	4928	187
289	4944	170
290	4961	153
291	4978	136
292	4996	119
293	5012	102
294	5028	85
295	5045	68
296	5061	51
297	5077	34
298	5093	17
299	5109	0
